NEW LEVEL
1008
36
spike 192 441
block 240 408 block_2
block 192 456 block_1
block 240 456 block_2
block 144 504 block_1
block 192 504 block_1
block 240 504 block_1
block 912 504 block_0
block 96 552 block_2
block 144 552 block_0
block 192 552 block_0
block 240 552 block_2
spike 336 585
spike 384 585
block 528 552 block_0
block 864 552 block_0
block 912 552 block_0
spike 960 585
block 48 600 block_2
block 96 600 block_2
block 144 600 block_2
block 192 600 block_0
block 240 600 block_2
spike 288 633
block 336 600 block_2
block 384 600 block_2
spike 432 633
block 480 600 block_1
block 528 600 block_1
spike 576 633
spike 624 633
spike 672 633
walker 768 600 walker
block 864 600 block_0
block 912 600 block_0
block 960 600 block_0
NEW LEVEL
960
31
block 288 456 block_1
block 336 456 block_1
block 768 456 block_0
block 288 504 block_1
block 336 504 block_1
block 768 504 block_0
block 816 504 block_0
spike 864 537
block 48 552 block_0
block 96 552 block_0
block 288 552 block_1
block 336 552 block_2
block 528 552 block_2
block 576 552 block_0
block 768 552 block_0
block 816 552 block_1
block 864 552 block_1
spike 912 585
block 48 600 block_0
block 96 600 block_1
walker 192 600 walker
block 288 600 block_2
block 336 600 block_2
walker 432 600 walker
block 528 600 block_0
block 576 600 block_2
walker 672 600 walker
block 768 600 block_0
block 816 600 block_1
block 864 600 block_1
block 912 600 block_0
NEW LEVEL
1488
85
spike 816 297
walker 912 264 walker
spike 1008 297
block 720 312 block_0
block 768 312 block_0
block 816 312 block_0
block 864 312 block_0
block 912 312 block_0
block 960 312 block_1
block 1008 312 block_0
block 1056 312 block_0
block 1104 312 block_0
block 864 360 block_1
block 912 360 block_1
block 960 360 block_1
spike 240 441
walker 336 408 walker
spike 432 441
block 864 408 block_2
block 912 408 block_2
block 960 408 block_1
block 144 456 block_0
block 192 456 block_0
block 240 456 block_0
block 288 456 block_0
block 336 456 block_0
block 384 456 block_0
block 432 456 block_0
block 480 456 block_0
block 528 456 block_0
spike 720 489
block 864 456 block_1
block 912 456 block_2
block 960 456 block_1
block 1296 456 block_0
block 288 504 block_1
block 336 504 block_1
block 384 504 block_1
spike 672 537
block 720 504 block_0
block 864 504 block_1
block 912 504 block_2
block 960 504 block_2
spike 1248 537
block 1296 504 block_0
block 1344 504 block_0
block 288 552 block_1
block 336 552 block_2
block 384 552 block_2
spike 528 585
block 672 552 block_0
block 720 552 block_0
spike 768 585
block 864 552 block_1
block 912 552 block_1
block 960 552 block_1
spike 1200 585
block 1248 552 block_0
block 1296 552 block_0
block 1344 552 block_0
block 288 600 block_1
block 336 600 block_2
block 384 600 block_1
spike 432 633
spike 480 633
block 528 600 block_2
spike 576 633
spike 624 633
block 672 600 block_0
block 720 600 block_0
block 768 600 block_0
spike 816 633
block 864 600 block_1
block 912 600 block_1
block 960 600 block_1
spike 1008 633
spike 1056 633
spike 1104 633
spike 1152 633
block 1200 600 block_0
block 1248 600 block_0
block 1296 600 block_0
block 1344 600 block_0
block 1392 600 block_0
spike 1440 633
NEW LEVEL
768
84
block 96 600 block_1
block 144 552 block_1
block 192 504 block_1
block 288 408 block_1
block 336 360 block_1
block 336 408 block_1
block 336 456 block_1
block 336 504 block_1
block 336 552 block_1
block 288 552 block_1
block 288 600 block_1
block 240 600 block_1
block 192 600 block_1
block 144 600 block_1
block 192 552 block_1
block 240 504 block_1
block 288 456 block_1
block 288 504 block_1
block 240 552 block_1
block 240 456 block_1
block 336 600 block_1
block 432 24 block_1
block 432 72 block_1
block 432 120 block_1
block 432 168 block_1
block 480 168 block_1
block 480 216 block_1
block 528 216 block_1
block 528 264 block_1
block 576 264 block_1
block 576 312 block_1
block 624 312 block_1
block 624 360 block_1
block 672 360 block_1
block 672 408 block_1
block 720 456 block_1
block 720 408 block_1
block 720 360 block_1
block 720 312 block_1
block 672 312 block_1
block 672 264 block_1
block 720 264 block_1
block 720 216 block_1
block 720 168 block_1
block 720 120 block_1
block 720 72 block_1
block 720 24 block_1
block 720 -24 block_1
block 672 -24 block_1
block 624 -24 block_1
block 576 -24 block_1
block 528 -24 block_1
block 480 -24 block_1
block 432 -24 block_1
block 480 120 block_1
block 480 72 block_1
block 480 24 block_1
block 528 72 block_1
block 528 120 block_1
block 576 168 block_1
block 576 216 block_1
block 624 264 block_1
block 528 168 block_1
block 528 24 block_1
block 576 24 block_1
block 624 24 block_1
block 624 72 block_1
block 624 120 block_1
block 624 168 block_1
block 624 216 block_1
block 672 216 block_1
block 672 168 block_1
block 672 120 block_1
block 672 24 block_1
block 672 72 block_1
block 576 72 block_1
block 576 120 block_1
block 384 120 block_1
block 384 72 block_1
block 384 24 block_1
block 384 -24 block_1
block 336 24 block_1
block 336 72 block_1
block 336 -24 block_1
NEW LEVEL
576
12
block 336 600 block_0
block 336 552 block_0
block 336 504 block_0
block 336 456 block_0
block 528 456 block_0
block 528 504 block_0
block 528 552 block_0
block 528 600 block_0
walker 432 456 walker
walker 432 504 walker
walker 432 552 walker
walker 432 600 walker
NEW LEVEL
1248
53
barrier 816 408
walker 912 408 walker
barrier 1008 408
barrier 816 456
walker 912 456 walker
barrier 1008 456
spike 480 537
block 528 504 block_0
block 576 504 block_0
block 624 504 block_2
block 672 504 block_0
block 720 504 block_0
barrier 816 504
walker 912 504 walker
barrier 1008 504
block 1104 504 block_2
spike 240 585
block 288 552 block_0
block 336 552 block_0
block 384 552 block_0
block 432 552 block_2
block 480 552 block_0
block 528 552 block_0
block 576 552 block_0
block 624 552 block_1
block 672 552 block_2
block 720 552 block_0
barrier 816 552
walker 912 552 walker
barrier 1008 552
block 1104 552 block_1
block 1152 552 block_2
block 48 600 block_0
block 96 600 block_0
block 144 600 block_0
block 192 600 block_0
block 240 600 block_0
block 288 600 block_0
block 336 600 block_0
block 384 600 block_2
block 432 600 block_1
block 480 600 block_0
block 528 600 block_0
block 576 600 block_0
block 624 600 block_1
block 672 600 block_2
block 720 600 block_2
barrier 816 600
walker 912 600 walker
